country,task,context_pct,test_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
China,2c,10,50,0.593081411589343,0.0234749894030285,0.6204650446321675,0.0319854673823831,-0.02738363304282443,HM(RF)
China,2c,20,50,0.6292693742936339,0.0164182311289076,0.6042313007626654,0.0108949228987899,0.02503807353096854,TabPFN-v3
China,2c,30,50,0.6704176166209522,0.0284362579209028,0.6566935831735157,0.0176343972655422,0.013724033447436557,TabPFN-v3
China,2c,40,50,0.6888311828855997,0.0262394132584085,0.6559238752312155,0.0196856658974864,0.03290730765438421,TabPFN-v3
China,2c,50,50,0.6818364761952165,0.0276131488769158,0.6773655847536013,0.0221806676362051,0.004470891441615166,TabPFN-v3
China,3c,10,50,0.6962752236393575,0.0205912461903867,0.6931047885065278,0.0135386382827246,0.003170435132829663,TabPFN-v3
China,3c,20,50,0.7347070149200173,0.0180542402755739,0.7138422626941584,0.0117318424364948,0.02086475222585893,TabPFN-v3
China,3c,30,50,0.7511101730446436,0.0162590354774089,0.7301568796249176,0.0137221427886114,0.02095329341972596,TabPFN-v3
China,3c,40,50,0.7636680878116016,0.0149243411493833,0.7355064007752606,0.0133362498073688,0.02816168703634092,TabPFN-v3
China,3c,50,50,0.777390366390537,0.013362130239519,0.750823863125845,0.0112779776977358,0.02656650326469201,TabPFN-v3
Denmark,2c,10,50,0.6027736536951995,0.0182871367837582,0.5867880921801718,0.0282345386767293,0.015985561515027724,TabPFN-v3
Denmark,2c,20,50,0.6395361843313881,0.0251263763951449,0.6109562387953272,0.0241897762079952,0.028579945536060913,TabPFN-v3
Denmark,2c,30,50,0.6946309160005645,0.0254848122748636,0.6731985128886708,0.0225304844571369,0.02143240311189365,TabPFN-v3
Denmark,2c,40,50,0.7261928893516135,0.0208042469687004,0.7025508213134687,0.0261985969716003,0.023642068038144837,TabPFN-v3
Denmark,2c,50,50,0.7225010866995533,0.0205171069529966,0.6769092276619261,0.0282276180163034,0.04559185903762719,TabPFN-v3
Denmark,3c,10,50,0.667092270689812,0.0302653995429474,0.6601795834628298,0.0276536792149153,0.006912687226982239,TabPFN-v3
Denmark,3c,20,50,0.6909356374045943,0.026222926774711,0.6935377417117571,0.0219450206536262,-0.002602104307162789,HM(RF)
Denmark,3c,30,50,0.740775595108593,0.0282049717980228,0.7233483400447709,0.0245569684561305,0.017427255063822145,TabPFN-v3
Denmark,3c,40,50,0.7287660615498859,0.0289985118816011,0.7341836909741265,0.0212527606537344,-0.005417629424240622,HM(RF)
Denmark,3c,50,50,0.7549198415882197,0.0241274945992725,0.7559095219038403,0.0190707968175081,-0.0009896803156206335,HM(RF)
India,2c,10,50,0.6360834714253258,0.0913460437950835,0.676458474642548,0.0758861082486152,-0.040375003217222205,HM(RF)
India,2c,20,50,0.7173099068194656,0.0507487971132025,0.685884539933137,0.0420332238073746,0.031425366886328576,TabPFN-v3
India,2c,30,50,0.7451434297947355,0.0473005452289617,0.7124275123453211,0.0387447178015336,0.03271591744941438,TabPFN-v3
India,2c,40,50,0.7562671633767349,0.0455919936778362,0.7658601583334309,0.0437977276907027,-0.009592994956695966,HM(RF)
India,2c,50,50,0.758193925030473,0.0495627548934041,0.7606215854520524,0.0440612286178004,-0.0024276604215793807,HM(RF)
India,3c,10,50,0.7145298967227967,0.0430082832707567,0.6953521013054554,0.0418954003080948,0.019177795417341215,TabPFN-v3
India,3c,20,50,0.7474829786302775,0.0528732941144307,0.7169846790806413,0.044052923527431,0.03049829954963612,TabPFN-v3
India,3c,30,50,0.7746359347459119,0.0448733797485207,0.7329153700318104,0.0513362203845465,0.04172056471410146,TabPFN-v3
India,3c,40,50,0.7754248427447339,0.0454332865534665,0.7414857415111095,0.0531681594701323,0.033939101233624425,TabPFN-v3
India,3c,50,50,0.7902024791538572,0.0423128460330674,0.7678913003301419,0.0415113564011147,0.02231117882371536,TabPFN-v3
Italy,2c,10,50,0.6878180816860763,0.0139833796701287,0.6596129601416442,0.0128697104724706,0.02820512154443211,TabPFN-v3
Italy,2c,20,50,0.7184252614588502,0.0117130200588992,0.6813023696422753,0.0121765517271772,0.03712289181657491,TabPFN-v3
Italy,2c,30,50,0.7472707940809594,0.011654632074005,0.7062903005281479,0.0123416295988904,0.040980493552811526,TabPFN-v3
Italy,2c,40,50,0.7610042758591267,0.0105132257849428,0.715318129973085,0.010734552134296,0.045686145886041696,TabPFN-v3
Italy,2c,50,50,0.7720931462253848,0.0111916346397625,0.7295379495572082,0.0108513344187641,0.04255519666817664,TabPFN-v3
Italy,3c,10,50,0.7790660623383342,0.0067758769421237,0.7491443506488452,0.0073577441302348,0.029921711689488983,TabPFN-v3
Italy,3c,20,50,0.8016371156483718,0.0059074417714775,0.7781088193146706,0.0070975155173488,0.023528296333701237,TabPFN-v3
Italy,3c,30,50,0.8217512482552152,0.0054036131463025,0.7934347144307978,0.0055246944627371,0.028316533824417345,TabPFN-v3
Italy,3c,40,50,0.8311352891842079,0.0051254313407737,0.8041802510425813,0.0053278546742381,0.026955038141626586,TabPFN-v3
Italy,3c,50,50,0.8349686364002175,0.0052219151840995,0.8106960730977395,0.0055590470787751,0.024272563302477956,TabPFN-v3
Mexico,2c,10,50,0.6961495417897733,0.051624935497644,0.7106154994547813,0.0444400714628894,-0.014465957665008022,HM(RF)
Mexico,2c,20,50,0.7604468586706672,0.0370577850555768,0.7494413868291929,0.0492672613899287,0.011005471841474268,TabPFN-v3
Mexico,2c,30,50,0.8294569356781567,0.0368263538021448,0.7589739424685764,0.0540963263600356,0.07048299320958029,TabPFN-v3
Mexico,2c,40,50,0.8562400701149852,0.0277064666448016,0.8566699268493683,0.0237416907235323,-0.0004298567343831161,HM(RF)
Mexico,2c,50,50,0.8776723754250473,0.0256306411189957,0.8247991027655683,0.0345015869089152,0.05287327265947894,TabPFN-v3
Mexico,3c,10,50,0.7674227112104776,0.0156685335728718,0.7277728985627426,0.0211200918403326,0.03964981264773493,TabPFN-v3
Mexico,3c,20,50,0.8318512148978112,0.0105339478573004,0.7658230256707651,0.0192479070761745,0.06602818922704612,TabPFN-v3
Mexico,3c,30,50,0.8645829208899023,0.0124948791324014,0.7955431226668906,0.0166542645970835,0.06903979822301165,TabPFN-v3
Mexico,3c,40,50,0.8653423926070813,0.0086283950482512,0.7990112101927691,0.0150121597685986,0.06633118241431224,TabPFN-v3
Mexico,3c,50,50,0.8770099382262571,0.0087891973936766,0.8321851277128725,0.0124578030195203,0.044824810513384605,TabPFN-v3
Mongolia,2c,10,50,0.7194934275570211,0.0272438438409856,0.677992354708921,0.0247096438925323,0.04150107284810001,TabPFN-v3
Mongolia,2c,20,50,0.7742654163578432,0.0215947040325041,0.7180500089767626,0.0236879054811415,0.05621540738108055,TabPFN-v3
Mongolia,2c,30,50,0.7942838998237508,0.0243432316842168,0.7413443627675311,0.0246565089859767,0.05293953705621968,TabPFN-v3
Mongolia,2c,40,50,0.812404948706139,0.018201350795748,0.7575112560129971,0.0220705644530456,0.05489369269314193,TabPFN-v3
Mongolia,2c,50,50,0.818217588852978,0.0186725672487248,0.7690562216580188,0.02006550593289,0.04916136719495923,TabPFN-v3
Mongolia,3c,10,50,0.802862519263677,0.0125342734217413,0.7786169287890472,0.0125613564208489,0.02424559047462982,TabPFN-v3
Mongolia,3c,20,50,0.829600181564359,0.0111994328510111,0.7996568293525459,0.0111373301774757,0.0299433522118131,TabPFN-v3
Mongolia,3c,30,50,0.8439870614335797,0.0100500121827953,0.8147919268840006,0.0105754236262493,0.029195134549579116,TabPFN-v3
Mongolia,3c,40,50,0.8520332998266136,0.0093829401048798,0.8175979001984517,0.0107101622488757,0.03443539962816189,TabPFN-v3
Mongolia,3c,50,50,0.8594685335023765,0.008927578420696,0.8240543410177035,0.0095717970393337,0.035414192484673035,TabPFN-v3
Paraguay,2c,10,50,0.6711573240073899,0.0407637483830646,0.6186563694743639,0.0258797380876157,0.052500954533026056,TabPFN-v3
Paraguay,2c,20,50,0.7385126255482239,0.0348050672295936,0.694638285483087,0.0451249784769283,0.04387434006513691,TabPFN-v3
Paraguay,2c,30,50,0.7761248997205369,0.0300239988120576,0.7616581187522737,0.0274718836179855,0.014466780968263149,TabPFN-v3
Paraguay,2c,40,50,0.7676339825395901,0.0328139613726329,0.7207350848693862,0.0256500331072209,0.04689889767020394,TabPFN-v3
Paraguay,2c,50,50,0.8006283054391087,0.027457280263592,0.7435727427967151,0.0353668108913643,0.05705556264239353,TabPFN-v3
Paraguay,3c,10,50,0.7658074599293387,0.0324410914051332,0.7584199844412738,0.0267734462292565,0.007387475488064954,TabPFN-v3
Paraguay,3c,20,50,0.7870709857593636,0.0272463250946374,0.7750260388603507,0.0272915004438662,0.01204494689901292,TabPFN-v3
