continent,task,context_pct,test_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
Asia,2c,10,50,0.7440014627059074,0.0160451880852508,0.7071141410886432,0.0170092332326302,0.03688732161726416,TabPFN-v3
Asia,2c,20,50,0.7813997200596184,0.0137570937836423,0.7438179649277604,0.0109254543976266,0.03758175513185802,TabPFN-v3
Asia,2c,30,50,0.8047202660171626,0.00955852158452,0.7663814859662643,0.0128393972290743,0.0383387800508983,TabPFN-v3
Asia,2c,40,50,0.81815160664364,0.0098051316004291,0.7746553246316041,0.0117391995874133,0.043496282012035814,TabPFN-v3
Asia,2c,50,50,0.8281205263098711,0.0080073042763278,0.7886405370340024,0.0097632993389216,0.03947998927586871,TabPFN-v3
Asia,3c,10,50,0.7908546173973916,0.0107280766141631,0.7620044292753876,0.0097168515294318,0.028850188122004017,TabPFN-v3
Asia,3c,20,50,0.8238826087336835,0.0079569322683017,0.7891544952883371,0.0090730419706667,0.03472811344534632,TabPFN-v3
Asia,3c,30,50,0.8399869966430907,0.007767372079717,0.8072174259143011,0.0084344050323152,0.03276957072878961,TabPFN-v3
Asia,3c,40,50,0.8483785134984403,0.007620436022746,0.8143677057259504,0.0092148569303372,0.03401080777248988,TabPFN-v3
Asia,3c,50,50,0.8564478666677078,0.007289316570089,0.8215105576454891,0.0080063826174973,0.0349373090222187,TabPFN-v3
Europe,2c,10,50,0.6723528872104378,0.0186274785046462,0.6549729853662598,0.0191276328637854,0.017379901844178036,TabPFN-v3
Europe,2c,20,50,0.7124848858021564,0.017947163709227,0.6907294060054714,0.01746747210528,0.021755479796685018,TabPFN-v3
Europe,2c,30,50,0.7434081677533733,0.0150489796829597,0.7057051679922596,0.015299165784013,0.03770299976111369,TabPFN-v3
Europe,2c,40,50,0.7577379982018679,0.0143722285525957,0.7160291048693295,0.0160442308067287,0.041708893332538466,TabPFN-v3
Europe,2c,50,50,0.7707965412272136,0.0134295215323857,0.7306949401969488,0.0141479744482663,0.04010160103026483,TabPFN-v3
Europe,3c,10,50,0.7599692725600578,0.0070821660529398,0.7273587325018135,0.009672604912621,0.032610540058244264,TabPFN-v3
Europe,3c,20,50,0.7911837234780306,0.0058593185551643,0.7597632829899285,0.0074514790559777,0.03142044048810211,TabPFN-v3
Europe,3c,30,50,0.8035611651747004,0.0066150446502663,0.7763562331338133,0.007124482788864,0.027204932040887142,TabPFN-v3
Europe,3c,40,50,0.8125924942963186,0.0061629141040747,0.7847023070204753,0.0070700131804004,0.02789018727584336,TabPFN-v3
Europe,3c,50,50,0.8164929298145751,0.005744313424351,0.7916597289497868,0.0066904620458435,0.024833200864788352,TabPFN-v3
