train,test,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
India,Paraguay,2c,10,0.5929391575370994,0.0395056031063216,0.6121069081556205,0.0350602743849948,-0.019167750618521162,HM(RF)
India,Paraguay,2c,20,0.689673323049576,0.0273900052010401,0.6841024638806743,0.0230195854228804,0.005570859168901654,TabPFN-v3
India,Paraguay,2c,30,0.740391823737459,0.0213428194510215,0.7136061520382075,0.0171040013643301,0.0267856716992515,TabPFN-v3
India,Paraguay,2c,40,0.7565429252307504,0.0226322485812876,0.7412026424672649,0.0179911673239706,0.015340282763485535,TabPFN-v3
India,Paraguay,2c,50,0.7867904400018215,0.020898869041811,0.7465472556785759,0.0250317066319931,0.040243184323245584,TabPFN-v3
India,Denmark,2c,10,0.6036826170568157,0.0506567546967007,0.5487320222098383,0.0595536819585319,0.054950594846977396,TabPFN-v3
India,Denmark,2c,20,0.6216062170537962,0.0449523891001081,0.594369624538451,0.0571876559166743,0.02723659251534516,TabPFN-v3
India,Denmark,2c,30,0.6358836609443931,0.0576617504425586,0.6977428538681165,0.0446810154702251,-0.06185919292372344,HM(RF)
India,Denmark,2c,40,0.6238952331298776,0.0509063973350075,0.5936270885544468,0.0433495560249053,0.03026814457543081,TabPFN-v3
India,Denmark,2c,50,0.6610776476091388,0.0486104253644286,0.6750610913560855,0.0342821402825194,-0.013983443746946711,HM(RF)
India,China,2c,10,0.6185698096337559,0.0201181753741921,0.6010887570976824,0.027409980878885,0.01748105253607346,TabPFN-v3
India,China,2c,20,0.645648826501549,0.0187364061074521,0.6223268929483862,0.0313878325232133,0.02332193355316281,TabPFN-v3
India,China,2c,30,0.65747074821008,0.017148193455954,0.6299224139576662,0.0197643887638957,0.027548334252413764,TabPFN-v3
India,China,2c,40,0.6579332278241339,0.0152526856381686,0.632544793306811,0.0212674569234724,0.025388434517322866,TabPFN-v3
India,China,2c,50,0.6707176750867408,0.0134697904480472,0.6262631749797417,0.0263508271976955,0.04445450010699914,TabPFN-v3
India,UK,2c,10,0.7199559810469716,0.0429172568692921,0.7137750316945446,0.040765114987147,0.006180949352426968,TabPFN-v3
India,UK,2c,20,0.7460007886595488,0.0392908809494179,0.7392442031300792,0.0376074211031833,0.006756585529469561,TabPFN-v3
India,UK,2c,30,0.7898187481549902,0.0307657938584608,0.7533919435771946,0.0372092827943626,0.03642680457779557,TabPFN-v3
India,UK,2c,40,0.8075241716823319,0.026071161615523,0.7809901055668609,0.0320322365992846,0.026534066115471044,TabPFN-v3
India,UK,2c,50,0.8164300907011564,0.0257143462975386,0.7896171464419213,0.0344326871946575,0.026812944259235083,TabPFN-v3
India,Mexico,2c,10,0.6225658300649168,0.0421674201673326,0.5971483136761242,0.0453873528496134,0.025417516388792638,TabPFN-v3
India,Mexico,2c,20,0.7159846023504659,0.0470862033353967,0.6827399465059755,0.0309608534401108,0.033244655844490434,TabPFN-v3
India,Mexico,2c,30,0.7386671521315249,0.0453597534284004,0.7302377356776013,0.0308546755730585,0.008429416453923588,TabPFN-v3
India,Mexico,2c,40,0.7838701081933828,0.0401018100378353,0.7568179757550288,0.0322111282127979,0.027052132438353915,TabPFN-v3
India,Mexico,2c,50,0.7951149018000245,0.0396788244723952,0.7545258930534321,0.0362565499605133,0.040589008746592437,TabPFN-v3
India,Italy,2c,10,0.6928919981250714,0.0126715324831912,0.6639254012304879,0.009256147254005,0.028966596894583474,TabPFN-v3
India,Italy,2c,20,0.7456625940719974,0.0119156450261269,0.7021913090420074,0.011519876603123,0.04347128502998998,TabPFN-v3
India,Italy,2c,30,0.7612989033625184,0.0116680697434136,0.7213905842620086,0.0130870159463525,0.03990831910050974,TabPFN-v3
India,Italy,2c,40,0.7744677592663222,0.0113508364818806,0.7345797963477712,0.0104657534377657,0.03988796291855101,TabPFN-v3
India,Italy,2c,50,0.7887859017407124,0.0102734768471511,0.748072885778966,0.0093235777362271,0.04071301596174637,TabPFN-v3
India,Mongolia,2c,10,0.769162139286173,0.0218234063050634,0.7418963577268067,0.0190651028611698,0.02726578155936632,TabPFN-v3
India,Mongolia,2c,20,0.7961123402461527,0.0231986886144582,0.7579133667112484,0.0260836735899664,0.03819897353490431,TabPFN-v3
India,Mongolia,2c,30,0.8215672903784077,0.0223388391254711,0.7788656789414057,0.0229014071006268,0.04270161143700202,TabPFN-v3
India,Mongolia,2c,40,0.831059054323162,0.0192681017402085,0.7795661883474915,0.0239434476061917,0.05149286597567049,TabPFN-v3
India,Mongolia,2c,50,0.8413099928638188,0.0192707279309025,0.8032964593383177,0.0219414877795104,0.038013533525501075,TabPFN-v3
Paraguay,India,2c,10,0.5648232796879898,0.0262962051200991,0.57881414756076,0.0271931347516677,-0.013990867872770152,HM(RF)
Paraguay,India,2c,20,0.5981002876792408,0.0310540023881252,0.6346316051485071,0.0280664632087824,-0.0365313174692663,HM(RF)
Paraguay,India,2c,30,0.6297030365945291,0.0353996533933408,0.6111156511610825,0.0196386793247468,0.018587385433446624,TabPFN-v3
Paraguay,India,2c,40,0.6348279369070127,0.0368306102886708,0.6387832922743003,0.0233681157233464,-0.0039553553672876385,HM(RF)
Paraguay,India,2c,50,0.6531398603596756,0.0340738796742002,0.6513180809817751,0.0210244198330592,0.001821779377900512,TabPFN-v3
Paraguay,Denmark,2c,10,0.4675809788610758,0.0439443904781369,0.5369891383564861,0.048493155830411,-0.0694081594954103,HM(RF)
Paraguay,Denmark,2c,20,0.548268968349926,0.0519234589116221,0.5766944607850014,0.0447439477718919,-0.028425492435075417,HM(RF)
Paraguay,Denmark,2c,30,0.6064226187101136,0.0449814205679738,0.678054522077996,0.0243011210390062,-0.07163190336788239,HM(RF)
Paraguay,Denmark,2c,40,0.5824740764816313,0.0415297933882943,0.6027325796495007,0.0522457637192084,-0.02025850316786937,HM(RF)
Paraguay,Denmark,2c,50,0.6244307269167566,0.054174312045688,0.6518581432166318,0.0451866544475607,-0.027427416299875218,HM(RF)
Paraguay,China,2c,10,0.5109718742685231,0.023822143683139,0.5190948236001612,0.021998274824065,-0.008122949331638152,HM(RF)
Paraguay,China,2c,20,0.5668767422528128,0.0223600334464284,0.5448062923182411,0.0317629456096961,0.022070449934571745,TabPFN-v3
Paraguay,China,2c,30,0.57644415474221,0.0222950070536465,0.5464281143059213,0.0235722007944131,0.030016040436288693,TabPFN-v3
Paraguay,China,2c,40,0.5947122832000578,0.0239905646772986,0.5572377629801455,0.0223373665385884,0.037474520219912266,TabPFN-v3
Paraguay,China,2c,50,0.6230851830659654,0.0196769980699205,0.5733614896527874,0.0189290256038012,0.04972369341317795,TabPFN-v3
Paraguay,UK,2c,10,0.7095038448123108,0.0377981553681007,0.6792331706321636,0.0403691337542694,0.030270674180147172,TabPFN-v3
Paraguay,UK,2c,20,0.754759614833391,0.0326380119769007,0.7137191770327898,0.0396207947946396,0.04104043780060129,TabPFN-v3
Paraguay,UK,2c,30,0.7733937375371697,0.0331290526284285,0.731947372482645,0.0383543240900231,0.0414463650545247,TabPFN-v3
Paraguay,UK,2c,40,0.7964423586812768,0.0315507160903878,0.7511672809925429,0.0353463011460104,0.045275077688733845,TabPFN-v3
Paraguay,UK,2c,50,0.8119099674797956,0.0267258884663247,0.7679742669541083,0.0322840681443642,0.04393570052568729,TabPFN-v3
Paraguay,Mexico,2c,10,0.6770857091841403,0.0394418780394379,0.5475672703344024,0.0410972517887557,0.1295184388497379,TabPFN-v3
Paraguay,Mexico,2c,20,0.7532145709419114,0.0400275136250996,0.6705513173500075,0.0337455792186771,0.08266325359190385,TabPFN-v3
Paraguay,Mexico,2c,30,0.8063800078427104,0.0334561683994856,0.6999000972339096,0.0477613524657025,0.1064799106088008,TabPFN-v3
Paraguay,Mexico,2c,40,0.818149519220072,0.0326498613915779,0.7399822774482802,0.0363965950466085,0.0781672417717918,TabPFN-v3
Paraguay,Mexico,2c,50,0.8289443504182407,0.0338919468234364,0.7526412429154907,0.0325928050892455,0.07630310750274993,TabPFN-v3
Paraguay,Italy,2c,10,0.6707493821408582,0.0119689662060928,0.6434994986518919,0.0089066174971069,0.027249883488966287,TabPFN-v3
Paraguay,Italy,2c,20,0.7262862847442445,0.0122623589356303,0.6770380349667176,0.009741371369972,0.04924824977752695,TabPFN-v3
Paraguay,Italy,2c,30,0.7512416390755667,0.0138725516137986,0.707593053075204,0.0101375279182713,0.0436485860003627,TabPFN-v3
Paraguay,Italy,2c,40,0.7618282320543377,0.0123738883931769,0.7210949685757954,0.0098043142035821,0.040733263478542336,TabPFN-v3
Paraguay,Italy,2c,50,0.7738047243961763,0.0115171557013749,0.7304024455775491,0.0098610330250424,0.04340227881862724,TabPFN-v3
Paraguay,Mongolia,2c,10,0.7423759027321897,0.0178492874336797,0.7006306922149517,0.018634482388084,0.04174521051723801,TabPFN-v3
Paraguay,Mongolia,2c,20,0.7838940295946237,0.0184164085064051,0.7326018831986394,0.016606901924915,0.05129214639598434,TabPFN-v3
Paraguay,Mongolia,2c,30,0.8029789822947555,0.0183776013104755,0.7613934375522049,0.0195289668964207,0.041585544742550606,TabPFN-v3
Paraguay,Mongolia,2c,40,0.8159258737148983,0.0211282835737119,0.7664182004624219,0.0207126983000519,0.0495076732524764,TabPFN-v3
Paraguay,Mongolia,2c,50,0.8186519325814923,0.0219484847295863,0.7787043550323853,0.0176532659450677,0.03994757754910694,TabPFN-v3
Denmark,India,2c,10,0.4968340398542841,0.0508545681958598,0.5534794984688368,0.041717276928383,-0.056645458614552724,HM(RF)
Denmark,India,2c,20,0.5372549501063327,0.0455682222605251,0.6272495284539146,0.0261642529666422,-0.08999457834758184,HM(RF)
Denmark,India,2c,30,0.547630249120785,0.0411522874417558,0.6306261774793336,0.0230768775735055,-0.08299592835854863,HM(RF)
Denmark,India,2c,40,0.5577070151621507,0.0441067750211813,0.6012248121597583,0.0277818877324701,-0.043517796997607605,HM(RF)
Denmark,India,2c,50,0.586713257743986,0.0432964474069511,0.6609298060272408,0.0261096053190542,-0.07421654828325486,HM(RF)
Denmark,Paraguay,2c,10,0.5942855316579033,0.0310291621740599,0.5734255279821142,0.0290968143617482,0.020860003675789107,TabPFN-v3
Denmark,Paraguay,2c,20,0.6565583086649454,0.0236619930476513,0.6600174804375435,0.0257013373418962,-0.0034591717725981352,HM(RF)
Denmark,Paraguay,2c,30,0.6942177000609869,0.0181445773861512,0.6500389750463544,0.0290064474348866,0.04417872501463249,TabPFN-v3
Denmark,Paraguay,2c,40,0.7103048148505238,0.0201001371012516,0.6934605066316761,0.033842986566984,0.016844308218847637,TabPFN-v3
Denmark,Paraguay,2c,50,0.7448956026588666,0.0139298903081281,0.7174138818085865,0.0258375985581499,0.02748172085028011,TabPFN-v3
Denmark,China,2c,10,0.4983861964715733,0.0255672328248714,0.5316838297558771,0.0337846318479378,-0.03329763328430385,HM(RF)
Denmark,China,2c,20,0.5419221872649911,0.0238309060200895,0.5864504792446801,0.0272970884543752,-0.044528291979688994,HM(RF)
Denmark,China,2c,30,0.5788455272706654,0.0165087561772587,0.5572114929834029,0.0211580401125459,0.021634034287262516,TabPFN-v3
Denmark,China,2c,40,0.607363139196549,0.015041878486163,0.5661703397088698,0.0300414544028674,0.04119279948767929,TabPFN-v3
Denmark,China,2c,50,0.6197192464696776,0.0200798966017155,0.5994023090309881,0.0310839737444672,0.020316937438689453,TabPFN-v3
Denmark,UK,2c,10,0.7101255495098514,0.0401566560906321,0.6562764482164477,0.0385934844440064,0.0538491012934037,TabPFN-v3
Denmark,UK,2c,20,0.7554949282492177,0.0346663098506097,0.7148708556086204,0.0370568430736903,0.04062407264059731,TabPFN-v3
Denmark,UK,2c,30,0.767820728794128,0.0332953600267839,0.7262460194325385,0.0366262337879358,0.04157470936158947,TabPFN-v3
Denmark,UK,2c,40,0.794805465964171,0.0280935737884452,0.7541944882990957,0.0333021831144829,0.040610977665075265,TabPFN-v3
Denmark,UK,2c,50,0.8044580987081966,0.0275446870444114,0.7630012289350324,0.0338285897589999,0.04145686977316421,TabPFN-v3
Denmark,Mexico,2c,10,0.6558278157913091,0.0497675971020869,0.5710844170142193,0.030011905380775,0.0847433987770898,TabPFN-v3
Denmark,Mexico,2c,20,0.7150162927840709,0.0427221066147095,0.6658603057955553,0.0298359854054573,0.04915598698851553,TabPFN-v3
Denmark,Mexico,2c,30,0.7767720150011079,0.0366595877323871,0.7135184342243374,0.0316293385309605,0.06325358077677057,TabPFN-v3
Denmark,Mexico,2c,40,0.7983596836007971,0.033109548901679,0.7322971220052008,0.0296365978931106,0.06606256159559631,TabPFN-v3
Denmark,Mexico,2c,50,0.8102195808551504,0.0326289827200685,0.7569509386078652,0.0335502469592487,0.053268642247285225,TabPFN-v3
Denmark,Italy,2c,10,0.6876336865687255,0.0154407362327188,0.6337934698888723,0.0141003856740205,0.05384021667985317,TabPFN-v3
Denmark,Italy,2c,20,0.7209824582523007,0.0143366309768979,0.6811512883846629,0.012183236023075,0.039831169867637795,TabPFN-v3
Denmark,Italy,2c,30,0.7439396626701571,0.0146665338604072,0.7054931755562366,0.0119243486053126,0.03844648711392051,TabPFN-v3
Denmark,Italy,2c,40,0.7624122294910757,0.0143310845336788,0.7209666829331567,0.0122161469421996,0.04144554655791899,TabPFN-v3
Denmark,Italy,2c,50,0.7742586191218114,0.0131306793854561,0.7282069386001098,0.010659242025321,0.04605168052170161,TabPFN-v3
Denmark,Mongolia,2c,10,0.7282107195208123,0.0231489051605556,0.6837575491234967,0.0183204150274262,0.044453170397315556,TabPFN-v3
Denmark,Mongolia,2c,20,0.7773632519748944,0.0190295673935721,0.7273740987482478,0.017859673636948,0.049989153226646654,TabPFN-v3
Denmark,Mongolia,2c,30,0.8114551127667842,0.0180089822692005,0.7622689431453485,0.017090825365172,0.04918616962143563,TabPFN-v3
Denmark,Mongolia,2c,40,0.8160093093424241,0.0210558163892356,0.7669337537064738,0.0196323915211679,0.04907555563595034,TabPFN-v3
Denmark,Mongolia,2c,50,0.8219183536614146,0.0209730364475188,0.7824893049431507,0.0165519848397607,0.039429048718263915,TabPFN-v3
China,India,2c,10,0.5645254890996423,0.0364861820047768,0.5095226685984778,0.0326144560380787,0.05500282050116445,TabPFN-v3
China,India,2c,20,0.5712549744199048,0.0305684967952918,0.5456261633736671,0.0252322471022163,0.02562881104623771,TabPFN-v3
China,India,2c,30,0.647292341999409,0.0416604793864875,0.6281872829804573,0.0305714155318345,0.019105059018951653,TabPFN-v3
